left_wrist_angle,right_wrist_angle,left_elbow_angle,right_elbow_angle,left_shoulder_angle,right_shoulder_angle,left_knee_angle,right_knee_angle,left_ankle_angle,right_ankle_angle,left_hip_angle,right_hip_angle,name_yoga
104.6798752,277.0813226,178.6587409,190.8998587,178.0691195,185.4994918,339.5318725,183.7565622,208.5768321,216.8371126,140.5181728,87.55921629,tree
181.6314244,172.6217191,294.6951606,38.99942417,189.026346,224.5773367,177.42981,173.8537606,184.7738103,174.4660603,262.3593557,288.3039901,tree
206.0301404,148.1483374,219.7156442,174.6897198,357.7880528,188.4614485,338.6597422,178.6408011,257.550313,148.6533658,94.45459333,93.55255922,tree
177.8652675,184.2936819,171.6138278,184.288387,161.0600043,157.0612892,183.3372668,41.02325347,204.7827912,171.1964114,97.0221926,132.7222117,tree
189.2345835,176.7886512,177.6131739,195.1793124,208.2836115,178.9448694,186.7231511,25.408283,153.1986234,168.4154322,86.65969438,156.0307101,tree
174.2051746,179.1551452,154.7330001,199.5469849,173.5106794,187.9033074,342.5934238,185.0945076,239.116287,211.4301433,149.5586414,86.74089136,tree
260.8925975,137.394375,290.5491058,57.97373034,28.34893398,38.4658329,244.0983936,197.8726788,183.3770811,163.0226731,113.7983151,82.94503722,tree
112.9150751,184.7104919,144.3253574,212.5746795,174.470101,12.78422633,184.9760873,19.6956845,205.1305602,176.9357444,105.1823894,114.2778196,tree
219.0833302,138.3646992,319.763368,41.84688069,19.7603304,15.06590127,179.4263607,29.0376414,171.7750658,166.8673758,97.10973906,109.0655932,tree
179.0543878,187.3653117,175.3573011,194.2081483,154.6424144,144.7154239,187.3033156,118.5979971,187.9011298,198.9709741,90.59854592,110.5390257,tree
221.3584728,134.3290771,316.9688534,37.02222636,33.60018978,16.71734902,177.6058955,17.7973582,162.7345066,144.6686916,87.08072344,147.7362382,tree
165.4976894,220.9205556,170.5751497,192.2385555,157.2487213,167.1664791,340.4890627,181.5724821,230.9127315,193.6336284,142.0840768,86.88424001,tree
214.1504362,141.6665635,322.603717,41.92369286,20.93222622,17.91820363,180.5641776,108.4384804,178.093706,177.2974504,103.5777044,104.2615037,tree
164.7433494,183.6574955,172.5945965,186.3569956,179.941579,186.171454,325.6865796,178.593732,206.9418719,187.8692218,114.6838069,102.1512981,tree
174.819442,178.2261315,76.48123464,287.818935,166.3422276,138.9677986,176.8973279,44.07888335,173.1864968,153.4254865,85.53176077,146.5887326,tree
157.7999482,164.9743538,162.3525452,190.3078261,141.3832137,183.4398382,207.4963241,300.3240789,147.3405864,180.5329526,142.9096458,343.8523805,tree
137.5829018,130.5766677,128.3084418,136.6122383,41.08492519,302.0397885,300.1314653,205.8702917,142.0870193,112.7690465,141.6760396,88.8100648,tree
145.7686275,223.7814842,166.2074409,197.9421235,223.5129039,135.2020599,178.9784081,185.9570281,142.3946158,222.3049349,89.37702303,107.3080544,tree
193.8827807,345.180662,162.5210389,162.7594576,172.6418309,230.9940339,350.6736949,176.2446204,245.209406,183.7791925,126.0950242,35.23784021,tree
177.6173223,281.0131328,175.3349699,188.147314,178.4793952,175.7355792,181.0775264,45.09428279,176.3462525,170.0187756,93.01926034,124.6907082,tree
168.1637862,209.4890405,161.0600391,203.9077496,184.2699541,176.3972366,181.3153066,32.92067109,182.8677213,168.9732513,93.18383397,122.2224718,tree
169.2415365,200.8799668,173.236626,195.0243383,130.1893023,178.8179502,336.3963724,177.7426245,217.7499443,205.9508502,158.6834261,78.7620377,tree
220.7129999,139.0489781,317.0639265,43.36511065,54.35440346,45.35098249,172.2129914,21.77502568,166.6593425,153.2226207,78.93823262,154.2065085,tree
173.7338307,188.0420009,197.3921601,161.494974,178.2522942,175.0790851,53.38427218,181.6991607,171.0077092,157.5731238,224.9717379,262.4963423,tree
180.4584898,178.111978,174.8489181,185.0548821,93.89312259,105.6094067,327.1828586,182.3848381,220.5537046,194.8679046,151.7405126,86.63837517,tree
158.0645048,178.6423534,147.9208888,190.988036,171.9861261,189.7472144,345.702345,248.6504551,193.5222418,160.602145,178.2709372,14.89932983,tree
165.2887154,182.836433,202.3690579,163.0598609,181.2278269,179.4593865,180.8113942,309.2100639,142.024251,222.9479277,261.4841394,227.0805072,tree
181.3728959,202.0028047,165.5754162,194.5014675,184.2376634,194.9353919,331.8260368,180.1686351,221.2877314,206.5079584,140.7755317,91.60634377,tree
168.686455,184.3528813,165.4666381,189.6333587,149.5112776,152.0565327,177.8986833,357.2601695,192.3102381,176.0708107,93.80690186,97.92002754,tree
223.8427991,147.7006052,320.8255587,36.07820093,49.36797955,54.89010135,194.1557795,50.01836692,139.2341675,195.3360839,76.59052204,111.7729375,tree
163.1268645,186.4045561,162.5877816,200.5952934,86.31580867,74.33085798,182.4472111,19.06972867,164.8166509,135.3116063,85.65961732,151.5602945,tree
197.3878176,172.2557977,136.1657616,242.3851736,181.1657238,164.2579637,178.9307534,51.32510304,178.956669,161.4471636,85.02639645,145.4036882,tree
166.1523264,190.0650342,168.0280517,190.9702834,145.8334765,136.4628479,181.7927284,30.07930896,192.6274006,175.4297021,98.19881747,142.9336388,tree
153.6605396,207.9006008,172.913902,184.8063711,177.6074279,182.5402442,179.1841847,179.8439986,185.0050137,180.8699947,85.51407632,94.73076506,tree
180.1959902,189.4058226,192.8326891,170.5833256,181.992504,171.8027645,56.36715719,178.8039854,161.3736632,166.1511819,246.8443155,247.9286115,tree
216.2297846,150.4649183,333.0640509,37.95323686,23.8109178,11.21083478,176.7688172,37.85275917,167.8039944,163.6025771,85.9991532,146.2864383,tree
122.469758,174.166753,60.53485397,285.5368887,304.0836161,330.7605197,186.0119492,327.7908718,194.8638213,247.7691481,280.6067354,207.7535311,tree
158.0645048,178.6423534,147.9208888,190.988036,171.9861261,189.7472144,345.702345,248.6504551,193.5222418,160.602145,178.2709372,14.89932983,tree
112.9150751,184.7104919,144.3253574,212.5746795,174.470101,12.78422633,184.9760873,19.6956845,205.1305602,176.9357444,105.1823894,114.2778196,tree
153.6605396,207.9006008,172.913902,184.8063711,177.6074279,182.5402442,179.1841847,179.8439986,185.0050137,180.8699947,85.51407632,94.73076506,tree
